"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","muEst","mu0","mu0.01","mu0.1","mu0.25","mu0.5","mu1","mu5","growth"
"36",38,38,"RB","6/6/13","23:30","Night","Hypo",50,3333.33333333333,1.34833333333333,NA,NA,0.00431041409147095,NA,4.5,3.26,6.6,0,0.769349299,0.002204185741635,279266.666666667,82866.6666666667,3400,47200,11466.6666666667,0,0,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,0.543677076166498,NA
"37",39,39,"HB","6/6/13","23:00","Night","PML",55,3666.66666666667,2.01888888888889,0.000657318397006981,0,0.00690649697303247,0.00144772980758794,0.375,7.84,14.6,0,1.57274487,0.00450591405255,119133.333333333,90600,10666.6666666667,36800,1000,0,0,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.190626774830878,0.0406352249083626
"38",40,40,"HB","6/6/13","23:00","Night","Hypo",12,800,1.8525,0,0,0.00357412955465587,0.000393692131120652,3,0.15,5.1,0,1.57274487,0.00450591405255,119133.333333333,28533.3333333333,2400,21533.3333333333,466.666666666667,0,0,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0.184850205896609,0
"39",41,41,"HB","6/7/13","11:00","Day","PML",0,0,2.01888888888889,0.000657318397006981,0,0.00690649697303247,0.00144772980758794,0.375,5.73461538461538,0,126.63,1.57274487,0.00450591405255,86800,63533.3333333333,11933.3333333333,36066.6666666667,666.666666666667,6838.02,0.419072233561253,5.78269592353364e-05,0,0.000128335690740951,0.00128335690740951,0.00320839226852378,0.00641678453704757,0.0128335690740951,0.0641678453704757,0.0326431586909449
"40",42,42,"HB","6/7/13","11:00","Day","Hypo",0,0,1.8525,0,0,0.00357412955465587,0.000393692131120652,3,0.44,5.1,0,1.57274487,0.00450591405255,86800,23266.6666666667,2400,14733.3333333333,266.666666666667,0,0,0,0,0,0,0,0,0,0,-0.101794845124758
"41",43,43,"TU","6/9/13","23:30","Night","PML",13,866.666666666667,0.897777777777778,0.00192435734243253,0,0.00755183168316832,0.00597020595646141,0.25,8.02333333333333,0,0,0.403333333,0.001155549999045,172466.666666667,8933.33333333333,0,6666.66666666667,66.6666666666667,0,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0.0325485876642442
"42",44,44,"TU","6/9/13","23:30","Night","Hypo",60,4000,1.03357142857143,0,0,0.00925033724948169,0.00168132954385956,6.5,0.15,4.1,0,0.403333333,0.001155549999045,172466.666666667,163533.333333333,266.666666666667,112333.333333333,133.333333333333,0,0,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,8.31825926534741,0
"43",45,45,"TU","6/10/13","13:30","Day","PML",0,0,0.897777777777778,0.00192435734243253,0,0.00755183168316832,0.00597020595646141,0.25,8.02333333333333,0,337.5,0.403333333,0.001155549999045,188533.333333333,12800,0,5600,66.6666666666667,18225,0.420139124426422,NA,NA,NA,NA,NA,NA,NA,NA,0.0325485876642442
"44",46,46,"TU","6/10/13","13:30","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.00168132954385956,6.5,0.12,4.1,0,0.403333333,0.001155549999045,188533.333333333,175733.333333333,333.333333333333,111133.333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"45",47,47,"DW","6/10/13","23:00","Night","PML",11,733.333333333333,0.5465,0,0,0.00641224885635865,0,0.5,7.98,19.7,0,2.144472789,0.006143914540485,233733.333333333,83533.3333333333,18600,22133.3333333333,2733.33333333333,0,0,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.021864002847986,0.0440682220316777
