"","X","X.3","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","mu","growth"
"31",31,31,31,31,"RB","6/6/13","12:00","Day","PML",0,0,1.15285714285714,0,0,0.00474903345724907,0.000566717589753071,1,8.7,15.4,214,4.90691596474801,0.140288727432146,380533.333333333,191066.666666667,2866.66666666667,59466.6666666667,40066.6666666667,11556,0.419670432837131,0.000411847297048085,0.00433198624814035
"32",32,32,32,32,"RB","6/6/13","12:00","Day","Hypo",0,0,1.34833333333333,NA,NA,0.00431041409147095,NA,4.5,3.26,6.6,0.493333333333333,4.90691596474801,0.140288727432146,380533.333333333,189466.666666667,5733.33333333333,85933.3333333333,26466.6666666667,26.64,0.401813152781354,0.00037754417297122,NA
"33",33,33,35,35,"BA","5/19/13","23:00","Night","PML",57,3800,0.9455,0.000640376156886874,0,0.00450775295109612,0.00172769302085614,0.75,9.35,16.4,0,4.90691596474801,0.140288727432146,290933.333333333,149466.666666667,2400,38933.3333333333,3333.33333333333,0,0,0,-0.00682385861553621
"34",34,34,36,36,"BA","5/19/13","23:00","Night","Hypo",18,1200,0.832,0,0,0.00587986595174263,0.000638387104693775,6,6.02,5.2,0,4.90691596474801,0.140288727432146,290933.333333333,141466.666666667,3400,43133.3333333333,1533.33333333333,0,0,0,0.0338676135489092
"35",35,35,37,37,"RB","6/6/13","23:30","Night","PML",66,4400,1.15285714285714,0,0,0.00474903345724907,0.000566717589753071,1,8.7,15.4,0,4.90691596474801,0.140288727432146,279266.666666667,196400,2666.66666666667,72866.6666666667,64066.6666666667,0,0,0,0.00433198624814035
"36",36,36,38,38,"RB","6/6/13","23:30","Night","Hypo",50,3333.33333333333,1.34833333333333,NA,NA,0.00431041409147095,NA,4.5,3.26,6.6,0,4.90691596474801,0.140288727432146,279266.666666667,82866.6666666667,3400,47200,11466.6666666667,0,0,0,NA
"37",37,37,39,39,"HB","6/6/13","23:00","Night","PML",55,3666.66666666667,2.01888888888889,0.000657318397006981,0,0.00690649697303247,0.00144772980758794,0.375,7.84,14.6,0,5.08513576076687,0.145384031400325,119133.333333333,90600,10666.6666666667,36800,1000,0,0,0,0.0398955945260782
"38",38,38,40,40,"HB","6/6/13","23:00","Night","Hypo",12,800,1.8525,0,0,0.00357412955465587,0.000393692131120652,3,0.15,5.1,0,5.08513576076687,0.145384031400325,119133.333333333,28533.3333333333,2400,21533.3333333333,466.666666666667,0,0,0,0
"39",39,39,41,41,"HB","6/7/13","11:00","Day","PML",0,0,2.01888888888889,0.000657318397006981,0,0.00690649697303247,0.00144772980758794,0.375,5.73461538461538,0,126.63,5.08513576076687,0.145384031400325,86800,63533.3333333333,11933.3333333333,36066.6666666667,666.666666666667,6838.02,0.419072233561253,0.00186579600924649,0.0309007876767505
"40",40,40,42,42,"HB","6/7/13","11:00","Day","Hypo",0,0,1.8525,0,0,0.00357412955465587,0.000393692131120652,3,0.44,5.1,0,5.08513576076687,0.145384031400325,86800,23266.6666666667,2400,14733.3333333333,266.666666666667,0,0,0,-0.0310124617699889
"41",41,41,43,43,"TU","6/9/13","23:30","Night","PML",13,866.666666666667,0.897777777777778,0.00192435734243253,0,0.00755183168316832,0.00597020595646141,0.25,8.02333333333333,0,0,22.5668014633516,0.645184853837222,172466.666666667,8933.33333333333,0,6666.66666666667,66.6666666666667,0,0,0,0.0320091291291966
"42",42,42,44,44,"TU","6/9/13","23:30","Night","Hypo",60,4000,1.03357142857143,0,0,0.00925033724948169,0.00168132954385956,6.5,0.15,4.1,0,22.5668014633516,0.645184853837222,172466.666666667,163533.333333333,266.666666666667,112333.333333333,133.333333333333,0,0,0,0
"43",43,43,45,45,"TU","6/10/13","13:30","Day","PML",0,0,0.897777777777778,0.00192435734243253,0,0.00755183168316832,0.00597020595646141,0.25,8.02333333333333,0,337.5,22.5668014633516,0.645184853837222,188533.333333333,12800,0,5600,66.6666666666667,18225,0.420139124426422,0.00383152508784826,0.0320091291291966
"44",44,44,46,46,"TU","6/10/13","13:30","Day","Hypo",0,0,1.03357142857143,0,0,0.00925033724948169,0.00168132954385956,6.5,0.12,4.1,0,22.5668014633516,0.645184853837222,188533.333333333,175733.333333333,333.333333333333,111133.333333333,66.6666666666667,0,0,0,0
"45",45,45,47,47,"DW","6/10/13","23:00","Night","PML",11,733.333333333333,0.5465,0,0,0.00641224885635865,0,0.5,7.98,19.7,0,3.22180784726801,0.0921114863533924,233733.333333333,83533.3333333333,18600,22133.3333333333,2733.33333333333,0,0,0,0.0433214841619811
"46",46,46,48,48,"DW","6/10/13","23:00","Night","Hypo",37,2466.66666666667,0.7245,0.00145040862414611,0,0.00699219461697723,0,5,4.39,5.5,0,3.22180784726801,0.0921114863533924,233733.333333333,150200,69933.3333333333,37400,20466.6666666667,0,0,0,0.031706861234996
"47",47,47,49,49,"DW","6/11/13","11:00","Day","PML",0,0,0.5465,0,0,0.00641224885635865,0,0.5,8.5,20.3,323,3.22180784726801,0.0921114863533924,186333.333333333,76066.6666666667,40066.6666666667,7000,5600,17442,0.420095808728981,0.000553362007880119,0.0434957326357641
"48",48,48,50,50,"DW","6/11/13","11:00","Day","Hypo",0,0,0.7245,0.00145040862414611,0,0.00699219461697723,0,5,5,5.8,0.1125,3.22180784726801,0.0921114863533924,186333.333333333,110266.666666667,54066.6666666667,27200,16000,6.075,0.38133248720202,0.000455953184661526,0.0328623636314489
"49",49,49,51,51,"CB","6/12/13","11:30","Day","PML",0,0,0.847,0,0,0.00830107792207792,0.000936006917420366,0.25,6.8025,0,1800.5,0,0,408866.666666667,162600,12266.6666666667,134800,1533.33333333333,97227,0.421548388136639,0,0.0315159070762261
"50",50,50,52,52,"CB","6/12/13","11:30","Day","Hypo",11,733.333333333333,1.078,0.000792264948054935,0,0.00842641649048626,0.00154190450117747,4,0.23,5,0,0,0,408866.666666667,246266.666666667,7200,169066.666666667,1133.33333333333,0,0,0,0.03390063079436
"51",51,51,53,53,"CB","6/12/12","11:30","Day","PML",0,0,0.847,0.00122100829380117,0,0.00830107792207792,0.00514781113330439,0.5,8.14,20.6,378.466,0,0,333866.666666667,161666.666666667,4466.66666666667,36466.6666666667,800,20437.164,0.420250363036202,0,0.0427587860863922
"52",52,52,54,54,"CB","6/12/12","11:30","Day","Hypo",0,0,1.078,0,0.000791774034194011,0.00842641649048626,0.000959918555297811,3.5,1.81,5,0,0,0,333866.666666667,172200,3733.33333333333,43000,2466.66666666667,0,0,0,0.0581563760708074
"53",53,53,55,55,"CB","6/11/13","23:00","Night","PML",29,1933.33333333333,0.847,0,0,0.00830107792207792,0.000936006917420366,0.25,6.8025,0,0,0,0,189333.333333333,141200,19733.3333333333,118400,933.333333333333,0,0,0,0.0315159070762261
"54",54,54,56,56,"CB","6/11/13","23:00","Night","Hypo",19,1266.66666666667,1.078,0.000792264948054935,0,0.00842641649048626,0.00154190450117747,4,0.14,5,0,0,0,189333.333333333,NA,NA,NA,NA,0,0,0,0
