Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
40,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__040,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,040,BHD,black_bullhead
41,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__041,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,041,BHD,black_bullhead
42,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__042,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,042,BHD,black_bullhead
43,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__043,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,043,BHD,black_bullhead
44,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__044,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,044,BHD,black_bullhead
45,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__045,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,045,BHD,black_bullhead
46,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__046,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,046,BHD,black_bullhead
47,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__047,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,047,BHD,black_bullhead
48,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__048,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,048,BHD,black_bullhead
49,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__049,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,049,BHD,black_bullhead
50,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__050,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,050,BHD,black_bullhead
