Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,GonadWeight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Gonad,Left_eye,Tissue,UseCPUE?,Fresh_frozen,Comments,MetaID,2nd Length,2nd weight,net_location
1854,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_031,"NC, KR",FN,fykenet_survey,17.5,trap_hours,031,BCP,,196,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1855,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_032,"NC, KR",FN,fykenet_survey,17.5,trap_hours,032,BCP,,206,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1856,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_033,"NC, KR",FN,fykenet_survey,17.5,trap_hours,033,BCP,,204,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1878,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_055,"NC, KR",FN,fykenet_survey,17.5,trap_hours,055,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1879,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_056,"NC, KR",FN,fykenet_survey,17.5,trap_hours,056,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1880,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_057,"NC, KR",FN,fykenet_survey,17.5,trap_hours,057,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1881,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_058,"NC, KR",FN,fykenet_survey,17.5,trap_hours,058,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1882,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_059,"NC, KR",FN,fykenet_survey,17.5,trap_hours,059,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1883,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_060,"NC, KR",FN,fykenet_survey,17.5,trap_hours,060,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1884,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_061,"NC, KR",FN,fykenet_survey,17.5,trap_hours,061,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1885,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_062,"NC, KR",FN,fykenet_survey,17.5,trap_hours,062,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
1886,BV,FN2.BV,2013-06-02,2013-06-03,2013-06-02 15:45,2013-06-03 09:15,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509,BV_FN2.BV_20130603_0915_FN_GonadSurvey.20130509_063,"NC, KR",FN,fykenet_survey,17.5,trap_hours,063,BCP,,,,,,,,,,,,,,,,,,,,,GonadSurvey.20130509,,,north_east_corner
